month_start,avg_long_spread,avg_short_spread,p50_long_spread,p50_short_spread,p90_short_spread,avg_ls_spread,imbalance_cost_p50_eur_mwh,imbalance_cost_p90_eur_mwh,imbalance_cost_avg_eur_mwh
2023-01-01,-157.72737903225806,224.20251008064517,133.89499999999998,-124.52000000000001,1732.83,66.4751310483871,0.2343749999999993,39.37756552419355,1.661878276209678
2023-02-01,-254.88653645833332,388.7986681547619,266.005,-207.055,1872.91,133.91213169642856,1.47375,40.450586588541675,3.347803292410715
2023-03-01,-344.2793573351279,440.20981493943475,84.62,-56.290000000000006,1888.98,95.93045760430687,0.70825,38.61751606662181,2.398261440107672
2023-04-01,-197.4508854166667,263.88638541666666,89.715,-83.4,1875.73,66.43549999999999,0.15787499999999996,41.95697786458334,1.6608874999999992
2023-05-01,-19.137328629032258,92.85631048387097,91.49000000000001,-89.9,1861.1950000000002,73.71898185483872,0.03975000000000009,46.0514417842742,1.842974546370968
2023-06-01,-248.6156111111111,340.80607638888887,87.35000000000001,-80.53,1908.739,92.19046527777778,0.1705000000000002,41.503084722222226,2.3047616319444444
2023-07-01,-290.2385752688172,382.3962096774194,121.2,-105.97,1898.13,92.15763440860215,0.38075000000000014,40.19728561827958,2.3039408602150546
2023-08-01,-330.9619556451613,546.3872244623657,112.715,-80.505,1940.7,215.42526881720428,0.8052500000000002,40.24345110887097,5.385631720430109
2023-09-01,29.91427083333333,131.64399652777777,191.475,-165.60000000000002,2016.3,161.55826736111112,0.6468749999999993,51.155356770833336,4.038956684027777
2023-10-01,-240.71386577181207,408.33152348993286,143.26,-120.45499999999998,2378.038,167.6176577181208,0.5701250000000002,53.4331033557047,4.19044144295302
2023-11-01,-665.3310243055556,815.3524027777778,-949.81,1042.6599999999999,2599.391,150.02137847222224,2.321249999999998,48.35149939236111,3.7505344618055547
2023-12-01,-357.78756720430107,516.9691834677419,119.25,-58.074999999999996,2792.875,159.18161626344084,1.5293750000000002,60.877185819892475,3.9795404065860214
2024-01-01,-471.71361223118276,623.4648689516129,-795.7149999999999,872.76,3225.57,151.7512567204301,1.9261250000000019,68.84640969422044,3.7937814180107523
2024-02-01,573.1621336206897,-373.94502155172415,923.3100000000001,-861.5899999999999,4908.75,199.21711206896555,1.5430000000000037,137.04780334051725,4.980427801724139
2024-03-01,1026.2823889636607,-647.2450908479138,741.59,-547.3399999999999,2927.488,379.037298115747,4.856250000000003,98.84425972409151,9.475932452893671
2024-04-01,518.5978784722222,-94.76890625,542.8,-20.314999999999998,2919.9,423.8289722222222,13.062124999999998,85.96244696180557,10.595724305555557
2024-05-01,1167.6025470430109,-543.8157862903225,799.21,-214.26,2999.9,623.7867607526881,14.623750000000001,104.18756367607529,15.594669018817209
2024-06-01,-25.736611111111106,674.8558506944444,-1095.095,1404.665,6909.918,649.1192395833333,7.739249999999998,172.1045347222222,16.227980989583333
2024-07-01,-357.9404939516129,529.2637063172043,-683.735,768.19,1777.495,171.3232123655914,2.111375000000001,35.48886265120967,4.283080309139786
2024-08-01,-169.28503360215055,316.3416565860215,73.56,7.269999999999994,1324.9050000000002,147.05662298387097,2.02075,28.89049915994624,3.6764155745967737
2024-09-01,-52.474496527777795,170.53502777777777,56.910000000000004,188.075,1620.3079999999993,118.06053125000001,6.124625,39.19583758680554,2.9515132812499996
2024-10-01,-90.2538456375839,233.44825503355707,-419.42999999999995,521.91,1844.6799999999996,143.19440939597317,2.5620000000000007,43.86065385906039,3.5798602348993303
2024-11-01,-1015.6676770833334,1075.2536388888889,-820.645,835.56,2906.429,59.585961805555556,0.3728749999999991,47.26903307291667,1.4896490451388873
2024-12-01,-681.8829469086021,733.177557123656,-587.4100000000001,610.62,2186.205,51.294610215053766,0.580249999999998,37.60805132728495,1.282365255376348
2025-01-01,-131.74059475806453,171.5113810483871,-21.745000000000005,65.16499999999999,1041.4650000000001,39.77078629032258,1.0854999999999997,22.743110131048393,0.9942696572580645
2025-02-01,-651.3829724702381,739.0392224702381,-799.155,828.165,2159.5590000000007,87.65625,0.7252499999999998,37.704400688244064,2.19140625
2025-03-01,-245.51032974427994,303.8567597577389,-385.90999999999997,456.33,1546.934,58.34643001345895,1.7605000000000004,32.535591756393,1.4586607503364748
2025-04-01,-174.54168055555556,298.7845798611111,-125.46,207.755,1597.5359999999998,124.24289930555555,2.057375,35.574857986111105,3.1060724826388895
2025-05-01,-438.163188844086,566.0721404569892,-196.39,357.165,2139.64,127.90895161290322,4.019375000000001,42.536920278897846,3.1977237903225815
2025-06-01,-166.1691701388889,207.5558923611111,-104.04499999999999,117.335,1125.551,41.38672222222222,0.33225000000000016,23.98454574652778,1.0346680555555552
2025-07-01,-329.2387197580645,400.2844791666667,-235.255,281.42499999999995,1345.0700000000002,71.04575940860215,1.154249999999999,25.395782006048393,1.7761439852150547
2025-08-01,-45.82876008064517,146.09543010752688,-141.885,160.485,802.345,100.26667002688171,0.4650000000000006,18.91290599798387,2.506666750672043
2025-09-01,-322.06325347222224,379.5646875,-216.40500000000003,248.495,1224.341,57.501434027777776,0.8022499999999995,22.556943663194446,1.4375358506944438
2025-10-01,-589.0844093959731,691.5535973154363,-332.195,507.645,1686.0449999999996,102.46918791946308,4.3862499999999995,27.424014765100665,2.5617296979865785
2025-11-01,-590.3915520833333,633.4251006944445,-243.39000000000001,291.295,1645.4879999999998,43.03354861111111,1.1976250000000002,26.37741119791666,1.07583871527778
2025-12-01,-517.3133669354839,563.8550772849462,-209.59,235.10499999999996,1421.895,46.54171034946237,0.637874999999999,22.614540826612902,1.163542758736557
2026-01-01,-815.4804502688171,815.4804502688171,-667.468,667.468,1861.5484999999999,0.0,0.0,26.15170124327957,0.0
2026-02-01,-337.5415621141976,337.5415621141976,-268.93899999999996,268.93899999999996,1011.7935000000001,0.0,0.0,16.856298447145065,0.0
