month_start,base_avg,p10,p25,p50,p75,p90,min_price,max_price,std_dev,count,peak_avg,offpeak_avg,peak_offpeak_spread
2017-10-01,216.48634899328857,72.358,137.59,229.0,287.0,338.85200000000003,1.0,570.0,106.35238126576927,745,249.37445747800587,188.7268316831683,60.64762579483755
2017-11-01,256.8560972222222,93.70000000000002,152.0,254.32999999999998,349.1775,430.29600000000005,10.0,580.0,130.0552093632616,720,329.78739393939395,195.145,134.64239393939394
2017-12-01,174.58764216366157,45.0,92.0,177.13,248.0,301.0,0.45,487.32,99.9602276004456,721,227.50560606060608,129.9254219948849,97.58018406572117
2018-01-01,155.78584118438764,30.208000000000006,100.0,178.0,217.575,244.08400000000003,0.1,320.0,78.21617503772922,743,197.62753665689152,120.29325870646765,77.33427795042387
2018-02-01,177.01369047619048,68.91,144.78,182.905,223.16750000000002,260.58700000000005,0.1,341.0,67.85505972530217,672,209.04996753246752,149.9060714285714,59.14389610389611
2018-03-01,156.0006594885599,48.0,91.25999999999999,153.97,208.26999999999998,283.998,0.01,426.0,89.94686008145744,743,182.22642228739002,133.75442786069652,48.4719944266935
2018-04-01,121.16245833333333,5.0,68.3625,132.63,174.315,206.03300000000002,0.01,286.0,70.9063251654488,720,120.67357575757575,121.57612820512821,-0.9025524475524662
2018-05-01,189.39438172043012,101.195,149.0025,189.255,239.23250000000002,287.85400000000004,0.01,388.08,73.17241632833037,744,202.75703812316715,178.08751861042185,24.669519512745296
2018-06-01,221.97690277777778,140.646,165.2375,220.0,278.46,305.991,52.0,400.0,67.03525078520077,720,245.50396969696968,202.06938461538462,43.434585081585055
2018-07-01,181.36201612903224,107.75399999999999,139.0,189.85500000000002,220.0,255.048,6.0,301.4,57.63600754780713,744,200.46111436950147,165.2012406947891,35.25987367471237
2018-08-01,241.76088888888887,130.945,199.3275,247.0,301.99,335.033,30.0,406.39,76.18075309907005,720,264.96745454545453,222.1245641025641,42.84289044289042
2018-09-01,276.2632916666667,151.0,218.22,284.615,339.0,387.473,0.1,546.18,91.58433058076007,720,299.1281212121212,256.9161282051282,42.211993006993
2018-10-01,287.5967651006711,161.136,193.0,290.33,363.44,406.362,50.0,536.98,95.95470221422896,745,325.3676539589443,255.7158910891089,69.65176286983538
2018-11-01,282.48283333333336,180.0,205.23250000000002,287.185,335.79999999999995,398.41600000000005,3.0,583.02,89.33342583165933,720,337.0349090909091,236.3233846153846,100.71152447552447
2018-12-01,298.46067204301073,172.771,232.14999999999998,302.11,365.2575,416.1520000000002,45.18,581.0,98.13053954677699,744,347.3325219941349,257.1075682382134,90.22495375592149
2019-01-01,352.14869623655915,203.68099999999998,259.53,339.0,427.2875,550.0,36.93,650.0,123.93429968443351,744,419.47513196480935,295.18017369727045,124.2949582675389
