date,base_eur_mwh,peak_eur_mwh,offpeak_eur_mwh,peak_offpeak_spread
2015-02-20,202.52333333333334,231.25545454545454,178.21153846153845,53.04391608391609
2015-02-21,167.63208333333333,171.79090909090908,164.1130769230769,7.677832167832179
2015-02-22,82.54041666666667,90.88272727272728,75.48153846153846,15.401188811188817
2015-02-23,144.07375,194.2209090909091,101.64153846153847,92.57937062937062
2015-02-24,173.8975,204.29090909090908,148.18,56.110909090909075
2015-02-25,186.45708333333334,214.9881818181818,162.3153846153846,52.6727972027972
2015-02-26,201.87333333333333,231.97454545454545,176.4030769230769,55.571468531468554
2015-02-27,188.65374999999997,217.67454545454547,164.0976923076923,53.57685314685315
2015-02-28,171.82000000000002,189.69727272727275,156.69307692307692,33.00419580419583
2015-03-01,170.37916666666666,198.5490909090909,146.5430769230769,52.00601398601398
2015-03-02,184.39583333333334,246.6590909090909,131.71153846153845,114.94755244755245
2015-03-03,168.13458333333332,206.6490909090909,135.54538461538462,71.10370629370627
2015-03-04,183.32791666666665,234.1,140.3669230769231,93.73307692307691
2015-03-05,165.22458333333333,191.63272727272727,142.8792307692308,48.75349650349648
2015-03-06,125.64916666666666,161.9090909090909,94.9676923076923,66.9413986013986
2015-03-07,47.907916666666665,62.04636363636364,35.94461538461539,26.101748251748248
2015-03-08,54.52458333333333,50.209999999999994,58.175384615384615,-7.965384615384622
2015-03-09,158.21333333333334,191.41454545454545,130.12,61.29454545454544
2015-03-10,186.2325,208.54545454545453,167.35230769230768,41.19314685314686
2015-03-11,189.15916666666666,201.82636363636365,178.44076923076923,23.385594405594418
2015-03-12,186.48874999999998,204.03454545454545,171.6423076923077,32.392237762237755
2015-03-13,168.30375,183.82999999999998,155.16615384615386,28.663846153846123
