date,eur_ron
2010-05-11,4.1782
2010-05-12,4.1752
2010-05-13,4.1907
2010-05-14,4.187
2010-05-15,4.187
2010-05-16,4.187
2010-05-17,4.1967
2010-05-18,4.1989
2010-05-19,4.1976
2010-05-20,4.2035
2010-05-21,4.1902
2010-05-22,4.1902
2010-05-23,4.1902
2010-05-24,4.1745
2010-05-25,4.1814
2010-05-26,4.1643
2010-05-27,4.1547
2010-05-28,4.1677
2010-05-29,4.1677
2010-05-30,4.1677
2010-05-31,4.195
2010-06-01,4.1793
2010-06-02,4.1839
2010-06-03,4.1924
2010-06-04,4.2105
2010-06-05,4.2105
2010-06-06,4.2105
2010-06-07,4.2349
2010-06-08,4.2229
2010-06-09,4.2168
2010-06-10,4.217
2010-06-11,4.231
2010-06-12,4.231
2010-06-13,4.231
2010-06-14,4.2279
2010-06-15,4.2238
2010-06-16,4.2268
2010-06-17,4.2347
2010-06-18,4.2398
2010-06-19,4.2398
2010-06-20,4.2398
2010-06-21,4.2327
2010-06-22,4.2263
2010-06-23,4.2245
2010-06-24,4.2375
2010-06-25,4.2793
2010-06-26,4.2793
2010-06-27,4.2793
2010-06-28,4.3705
2010-06-29,4.3858
2010-06-30,4.3647
2010-07-01,4.3398
2010-07-02,4.2903
2010-07-03,4.2903
2010-07-04,4.2903
2010-07-05,4.2588
2010-07-06,4.2364
2010-07-07,4.2296
2010-07-08,4.2303
2010-07-09,4.2359
2010-07-10,4.2359
2010-07-11,4.2359
2010-07-12,4.247
2010-07-13,4.2626
2010-07-14,4.2629
2010-07-15,4.273
2010-07-16,4.2682
2010-07-17,4.2682
2010-07-18,4.2682
2010-07-19,4.2645
2010-07-20,4.2775
2010-07-21,4.2666
2010-07-22,4.2637
2010-07-23,4.2662
2010-07-24,4.2662
2010-07-25,4.2662
2010-07-26,4.2458
2010-07-27,4.2494
2010-07-28,4.2504
2010-07-29,4.2498
2010-07-30,4.25
2010-07-31,4.25
2010-08-01,4.25
2010-08-02,4.2412
2010-08-03,4.2401
2010-08-04,4.2533
2010-08-05,4.2548
2010-08-06,4.243
2010-08-07,4.243
2010-08-08,4.243
2010-08-09,4.229
2010-08-10,4.2358
2010-08-11,4.2369
2010-08-12,4.2299
2010-08-13,4.2353
2010-08-14,4.2353
2010-08-15,4.2353
2010-08-16,4.2343
2010-08-17,4.232
2010-08-18,4.2283
2010-08-19,4.2319
2010-08-20,4.2257
2010-08-21,4.2257
2010-08-22,4.2257
2010-08-23,4.2281
2010-08-24,4.2373
2010-08-25,4.2425
2010-08-26,4.2496
2010-08-27,4.2431
2010-08-28,4.2431
2010-08-29,4.2431
2010-08-30,4.2369
2010-08-31,4.2728
2010-09-01,4.2573
2010-09-02,4.2708
2010-09-03,4.2765
2010-09-04,4.2765
2010-09-05,4.2765
2010-09-06,4.2825
2010-09-07,4.285
2010-09-08,4.2845
2010-09-09,4.2783
2010-09-10,4.2675
2010-09-11,4.2675
2010-09-12,4.2675
2010-09-13,4.2585
2010-09-14,4.2345
2010-09-15,4.2415
2010-09-16,4.2477
2010-09-17,4.2548
2010-09-18,4.2548
2010-09-19,4.2548
2010-09-20,4.2653
2010-09-21,4.2565
2010-09-22,4.2495
2010-09-23,4.261
2010-09-24,4.2488
2010-09-25,4.2488
2010-09-26,4.2488
2010-09-27,4.2469
2010-09-28,4.2647
2010-09-29,4.2702
2010-09-30,4.2711
2010-10-01,4.2636
2010-10-02,4.2636
2010-10-03,4.2636
2010-10-04,4.272
2010-10-05,4.2847
2010-10-06,4.2662
2010-10-07,4.2716
2010-10-08,4.27
2010-10-09,4.27
2010-10-10,4.27
