month_start,biomass_avg_mw,lignite_avg_mw,gas_avg_mw,hard_coal_avg_mw,hydro_ror_avg_mw,hydro_reservoir_avg_mw,nuclear_avg_mw,solar_avg_mw,wind_avg_mw,storage_avg_mw,biomass_total_mwh,lignite_total_mwh,gas_total_mwh,hard_coal_total_mwh,hydro_ror_total_mwh,hydro_reservoir_total_mwh,nuclear_total_mwh,solar_total_mwh,wind_total_mwh,storage_total_mwh,total_generation_mwh,biomass_share_pct,lignite_share_pct,gas_share_pct,hard_coal_share_pct,hydro_ror_share_pct,hydro_reservoir_share_pct,nuclear_share_pct,solar_share_pct,wind_share_pct,storage_share_pct
2020-05-01,48.893077956989245,561.9735887096774,641.9878897849462,64.38440860215054,967.4779166666666,464.30668010752686,1403.4945833333334,197.14997311827955,884.5239784946236,,36376.45,418108.35,477638.99,47902.0,719803.57,345444.17,1044199.97,146679.58,658085.84,0.0,3894238.92,0.9341093535165016,10.73658700940722,12.265271849319404,1.230073474793375,18.48380607320313,8.87064653958109,26.813967798359943,3.766578862089951,16.898959039729387,0.0
2020-06-01,40.65898611111111,662.6697916666667,814.1315555555556,49.080555555555556,1610.2467916666667,789.7191527777778,1143.3854722222222,198.52690277777776,391.39758333333333,,29274.47,477122.25,586174.72,35338.0,1159377.69,568597.79,823237.54,142939.37,281806.26,0.0,4103868.09,0.7133384738007016,11.626159504556592,14.28346884317132,0.8610900551630548,28.250851747040436,13.855167308752364,20.060039015532784,3.483040070130519,6.866844981852231,0.0
2020-07-01,36.66225806451613,1178.810053763441,1115.033440860215,57.34274193548387,1412.0584005376343,931.3131048387096,687.5604973118279,220.04549731182797,493.67024193548383,,27276.72,877034.68,829584.88,42663.0,1050571.45,692896.95,511545.01,163713.85,367290.66,0.0,4562577.2,0.5978358020988664,19.222352665068332,18.182374645627913,0.9350636302658067,23.02583395191647,15.186525501420556,11.211755715607397,3.5881880530153003,8.050070034979353,0.0
2020-08-01,37.84322580645161,1195.9480510752687,1091.2779569892473,66.83870967741936,1077.1983870967742,754.1251344086021,1197.096989247312,219.40458333333333,581.0438037634409,,28155.36,889785.35,811910.8,49728.0,801435.6,561069.1,890640.16,163237.01,432296.59,0.0,4628257.97,0.6083360128692222,19.225059531415877,17.542470736565278,1.0744431343787002,17.316139359448886,12.122684250463248,19.24352889949218,3.5269643796454155,9.340373695721201,0.0
2020-09-01,42.189638888888894,1153.3061111111112,1119.9835694444446,81.87777777777778,821.1960416666667,623.5927083333333,1377.9755972222224,194.20269444444446,748.3524166666666,,30376.54,830380.4,806388.17,58952.0,591261.15,448986.75,992142.43,139825.94,538813.74,0.0,4437127.12,0.6845992728736606,18.714370301836205,18.17365489407029,1.3286074165934647,13.325314646383177,10.118861548415587,22.36001816418548,3.1512718977499117,12.14330185789223,0.0
2020-10-01,68.82804026845638,1028.0282953020135,766.810832214765,86.6738255033557,1218.6471140939598,541.4589261744967,1407.9056644295301,117.42426845637584,721.6505771812082,,51276.89,765881.08,571274.07,64572.0,907892.1,403386.9,1048889.72,87481.08,537629.68,0.0,4438283.52,1.1553315548439773,17.256245044931244,12.871509163975176,1.4548867756875523,20.455928421625487,9.08880422312453,23.632778646822455,1.9710565944196377,12.113459574569948,0.0
2020-11-01,66.76006944444444,1121.9150833333333,1507.005111111111,111.15694444444445,1055.5479305555555,751.853625,1413.4257083333334,71.07475,542.1091805555556,,48067.25,807778.86,1085043.68,80033.0,759994.51,541334.61,1017666.51,51173.82,390318.61,0.0,4781410.850000001,1.0052942846356738,16.89415290468084,22.692960593419823,1.6738364995344417,15.89477528374287,11.321650177792188,21.283812287329372,1.070266111936396,8.163251856928378,0.0
2020-12-01,74.67751344086021,1212.7036559139785,1567.6140725806454,112.7258064516129,1020.423615591398,736.2638037634409,1413.836680107527,34.476209677419355,1032.3310483870969,,55560.07,902251.52,1166304.87,83868.0,759195.17,547780.27,1051894.49,25650.3,768054.3,0.0,5360558.989999999,1.0364603785472009,16.831295424285596,21.757150181085876,1.5645383281193965,14.162611985359389,10.218715455270088,19.62285075049608,0.47850047071303664,14.327877026123357,0.0
2021-01-01,71.57292592592593,1104.545987654321,1539.5134444444443,104.95802469135802,1542.6366913580246,662.567061728395,1253.5342839506172,56.72482716049383,1064.965987654321,,57974.07,894682.25,1247005.89,85016.0,1249535.72,536679.32,1015362.77,45947.11,862622.45,0.0,5994825.58,0.9670685031006357,14.924241548992656,20.80137067140492,1.4181563561020234,20.843570898354642,8.95237589214397,16.937319634243636,0.7664461523833026,14.389450343274207,0.0
2021-02-01,74.60086738627602,1278.6148535080956,1438.778897455667,95.92974556669238,1692.182540478026,741.6992521202776,1390.4350462606012,102.34038164996146,753.0151542020046,,193514.65,3316726.93,3732192.46,248841.76,4389521.51,1923967.86,3606788.51,265470.95,1953321.31,0.0,19630345.939999998,0.9857933761915152,16.895916863297014,19.01236214281408,1.2676381799922576,22.360897374995524,9.800988051257951,18.37353514311017,1.3523498302648864,9.950519038076617,0.0
2021-03-01,74.64171990171991,1120.0563776763777,1404.4718216918218,101.40926640926641,1534.4808704808704,541.2723762723763,1393.210157950158,156.7017444717445,943.3850193050192,,212654.26,3191040.62,4001340.22,288915.0,4371736.0,1542085.0,3969255.74,446443.27,2687703.92,0.0,20711174.03,1.0267610116740444,15.407338161408902,19.31971704841109,1.394971620544101,21.108103257051333,7.44566675827406,19.16480318426449,2.155567180080327,12.977071778291652,0.0
2021-04-01,74.17189462665736,1272.4531542219122,866.2712700628053,100.71946964410328,1687.2962316817864,591.7690160502442,1401.5882693649685,179.9357990230286,576.0239427773902,,212576.65,3646850.74,2482733.46,288662.0,4835791.0,1696010.0,4016951.98,515696.0,1650884.62,0.0,19346156.45,1.0988055976359066,18.850518186520716,12.83321297652382,1.4920896600109943,24.996133017419076,8.766650907550167,20.763566088084644,2.6656250885431043,8.533398477711577,0.0
2021-05-01,70.1633064516129,1024.8531586021506,727.0087365591398,31.069220430107528,1755.03561827957,1195.108870967742,894.1370967741935,213.84307795698925,691.5924059139785,,208806.0,3049963.0,2163578.0,92462.0,5222986.0,3556644.0,2660952.0,636397.0,2058179.0,0.0,19649967.0,1.0626277387641414,15.521466270146917,11.010593554686377,0.47054531949086736,26.580126063316033,18.09999986259519,13.541763199907663,3.2386670165909184,10.47421097450189,0.0
2021-06-01,64.5696943383119,1137.5725703369226,961.6385307398402,31.61264327891629,1804.3573254602293,1091.301483153873,1058.0862869051755,207.0223515109413,616.482424452935,,185896.15,3275071.43,2768557.33,91012.8,5194744.74,3141856.97,3046230.42,596017.35,1774852.9,0.0,20074240.09,0.926043273202677,16.314796551783196,13.791592197699973,0.45338104751142294,25.87766568851474,15.651187571304973,15.17482308840912,2.9690655652609563,8.841445016312942,0.0
2021-07-01,57.49811974436596,1382.629845274134,1146.439764547595,26.38042381432896,1282.2982946518669,777.6308509922637,1251.671379078372,223.42556676757482,484.1772552976791,,170941.91,4110558.53,3408365.42,78429.0,3812272.83,2311896.52,3721219.01,664244.21,1439458.98,0.0,19717386.41,0.8669602879685108,20.8473802994258,17.28609131619691,0.3977656996173865,19.334574830194242,11.725167179497396,18.872780259115487,3.368824834021194,7.30045529396307,0.0
2021-08-01,63.07804508748318,1190.3134959623148,1119.7417866756393,22.3778600269179,962.8256897711979,556.5988795423957,1357.0307907133242,204.8933109017497,454.6909387617766,,187467.95,3537611.71,3327872.59,66507.0,2861517.95,1654211.87,4033095.51,608942.92,1351341.47,0.0,17628568.97,1.0634326037412896,20.067492239558685,18.877723969899755,0.3772682860031378,16.232275886203144,9.383699112588832,22.878178693139834,3.4542958140067346,7.665633394858597,0.0
2021-09-01,55.64420118343195,1159.497539157675,1115.9708736512355,42.185920640445524,828.346578489384,542.8956978767839,1370.1287399930386,174.50383919248173,609.7625583014271,,159865.79,3331236.43,3206184.32,121200.15,2379839.72,1559739.34,3936379.87,501349.53,1751847.83,0.0,16947642.98,0.9432921745440261,19.656045586582213,18.918172419513642,0.7151445787654891,14.042305014381418,9.203281788745823,23.22670990087142,2.9582256989461317,10.33682283764984,0.0
2021-10-01,69.71890268456376,1250.123989932886,1212.9610402684564,39.48662751677852,711.1615973154362,553.4555469798657,1347.7762953020133,129.01242953020133,767.4901342281879,,207762.33,3725369.49,3614623.9,117670.15,2119261.56,1649297.53,4016373.36,384457.04,2287120.6,0.0,18121935.96,1.1464687352310894,20.5572379144419,19.946124453692196,0.6493243892911317,11.694454525596944,9.101111126539926,22.16304797051054,2.121500930411631,12.62072995428464,0.0
2021-11-01,63.194279734914545,1252.1475409836066,1524.6498081618417,36.280083711196376,758.7342169515173,504.83920474363447,1405.5486571328915,84.89257063132195,745.7575863271712,,181178.0,3589907.0,4371171.0,104015.0,2175291.0,1447374.0,4029708.0,243387.0,2138087.0,0.0,18280118.0,0.9911205168369264,19.63831415092616,23.91215964798477,0.5690061738113507,11.899764542001314,7.917749765072632,22.04421218725175,1.33143013628249,11.696242879832614,0.0
2021-12-01,69.79363204344875,1160.4171384928718,1637.7144433129668,60.27778682959945,1169.9708791581807,431.5199015614392,1391.067250509165,37.97671418873048,1177.6490461642904,,205612.04,3418588.89,4824706.75,177578.36,3446734.21,1271257.63,4098084.12,111879.4,3469354.09,0.0,21023795.49,0.9779967660825074,16.260569560934215,22.948790347084945,0.8446541447973341,16.394443199561394,6.0467560703046015,19.49259885994068,0.5321560517139524,16.502034999580374,0.0
2022-01-01,66.7130050420168,1060.6835865546218,1627.6470588235295,68.90656470588235,1219.408581512605,492.22798655462185,1406.5184000000002,76.87351260504202,1372.8753210084035,,198471.19,3155533.67,4842250.0,204997.03,3627740.53,1464378.26,4184392.24,228698.7,4084304.08,0.0,21990765.700000003,0.9025205975433588,14.349357876156171,22.019469744975726,0.9321959625989739,16.49665400236609,6.6590598980371105,19.027951536948983,1.0399760659539017,18.572814315419674,0.0
2022-02-01,77.025,1095.2542038690476,1654.9615885416667,95.50049851190477,1022.1214769345237,415.1976934523809,1403.0085788690476,119.34416666666667,996.0605394345238,,207043.2,2944043.3,4448536.75,256705.34,2747462.53,1116051.4,3771287.06,320797.12,2677410.73,0.0,18489337.43,1.119797833664178,15.922924827058013,24.0600117058927,1.3883966419666343,14.859713282868025,6.036189258946311,20.39709142784572,1.7350384848268736,14.480836536931546,0.0
2022-03-01,73.1486339165545,1180.6944481830417,911.0395861372813,92.41606998654105,885.2348822341856,625.8394616419919,1402.056063257066,166.38611036339165,1077.4410565275907,,217397.74,3509023.9,2707609.65,274660.56,2630918.07,1859994.88,4166910.62,494499.52,3202154.82,0.0,19063169.759999998,1.140407092508628,18.40734748825948,14.2033548674646,1.4407916598231039,13.801052517091996,9.757007378189556,21.858435257411255,2.594004702395307,16.797599036856084,0.0
2022-04-01,65.21830555555556,1080.6805416666666,668.1883715277778,85.73459027777777,1321.4772083333332,501.1804340277777,1399.5974027777777,181.18080555555554,1043.9020729166668,,187828.72,3112359.96,1924382.51,246915.62,3805854.36,1443399.65,4030840.52,521800.72,3006437.97,0.0,18279820.03,1.0275195253112128,17.026206794662848,10.527360263075849,1.3507552021561122,20.81997718661347,7.896137093424108,22.050766984493116,2.8545178187949585,16.44675913146832,0.0
2022-05-01,63.98670698924731,1188.4540356182795,1114.8021774193548,34.3935248655914,1283.7807291666668,856.8400571236558,864.5369590053764,226.0390625,484.09945900537633,,190424.44,3536839.21,3317651.28,102355.13,3820531.45,2549956.01,2572861.99,672692.25,1440679.99,0.0,18203991.749999996,1.0460587030314383,19.428921187024823,18.22485598522643,0.5622675037742754,20.987327957891438,14.007675047424698,14.13350448260888,3.6953007847852937,7.914088348232745,0.0
2022-06-01,58.5171875,1288.5243402777778,1152.7246597222222,36.51214930555556,978.9230625,923.2124375,734.8182152777778,231.3524236111111,524.2643194444445,,168529.5,3710950.1,3319847.02,105154.99,2819298.42,2658851.82,2116276.46,666294.98,1509881.24,0.0,17075084.529999997,0.9869907215036201,21.733128720271118,19.44263885878403,0.6158387668022867,16.51118279998348,15.571529472246779,12.393944265879428,3.9021474759281913,8.84259891860108,0.0
